Name;Symbol;Market
COV CASES ALGERIA;AAWCCOV;Algeria
COV CASES ANTIGUA&BARBUDA;ABWCCOV;Antigua and Barbuda
COV CASES ANDORRA;ADWCCOV;Andorra
COV CASES ARUBA;AEWCCOV;Aruba
COV CASES AFGHANISTAN;AFWCCOV;Afghanistan
COV CASES ARGENTINA;AGWCCOV;Argentina
COV CASES AZERBAIJAN;AJWCCOV;Azerbaijan
COV CASES ALBANIA;ALWCCOV;Albania
COV CASES ARMENIA;AMWCCOV;Armenia
COV CASES ANGOLA;AOWCCOV;Angola
COV CASES AUSTRALIA;AUCICOV;Australia
COV CASES BAHRAIN;BAWCCOV;Bahrain
COV CASES BARBADOS;BBWCCOV;Barbados
COV CASES GERMANY;BDCICOV;Germany
COV CASES BENIN;BEWCCOV;Benin
COV CASES BELGIUM;BGWCCOV;Belgium
COV CASES BAHAMAS;BHWCCOV;The Bahamas
COV CASES BRUNEI;BIWCCOV;Brunei
COV CASES BULGARIA;BLWCCOV;Bulgaria
COV CASES BERMUDA;BMWCCOV;Bermuda
COV CASES BA;BPWCCOV;Bosnia and Herzegovina
COV CASES BRAZIL;BRWCCOV;Brazil
COV CASES BANGLADESH;BSWCCOV;Bangladesh
COV CASES BHUTAN;BTWCCOV;Bhutan
COV CASES MYANMAR;BUWCCOV;Myanmar
COV CASES BOLIVIA;BVWCCOV;Bolivia
COV CASES BELARUS;BYWCCOV;Belarus
COV CASES BELIZE;BZWCCOV;Belize
COV CASES CAMEROON;CAWCCOV;Cameroon
COV CASES COLOMBIA;CBWCCOV;Colombia
COV CASES CHAD;CDWCCOV;Chad
COV CASES CNTRL AFRCN REP;CEWCCOV;Central African Republic
COV CASES CURACAO;CGWCCOV;Curacao
COV CASES CHINA;CHWCCOV;China
COV CASES CAYMAN ISLANDS;CIWCCOV;Cayman Islands
COV CASES CHILE;CLWCCOV;Chile
COV CASES CANADA;CNCICOV;Canada
COV CASES CONGO;COWCCOV;Republic of the Congo
COV CASES CYPRUS;CPWCCOV;Cyprus
COV CASES COSTA RICA;CRWCCOV;Costa Rica
COV CASES CROATIA;CTWCCOV;Croatia
COV CASES CUBA;CUWCCOV;Cuba
COV CASES CABO VERDE;CVWCCOV;Cape Verde
COV CASES CZECHIA;CZWCCOV;Czech Republic
COV CASES DJIBOUTI;DJWCCOV;Djibouti
COV CASES DENMARK;DKWCCOV;Denmark
COV CASES DOMINICA;DOWCCOV;Dominica
COV CASES SINT MAARTEN;DPWCCOV;Sint Maarten
COV CASES ECUADOR;EDWCCOV;Ecuador
COV CASES EL SALVADOR;ELWCCOV;El Salvador
COV CASES ERITREA;ENWCCOV;Eritrea
COV CASES EQUATORIAL GUINE;EQWCCOV;Equatorial Guinea
COV CASES SPAIN;ESWCCOV;Spain
COV CASES ETHIOPIA;ETWCCOV;Ethiopia
COV CASES EGYPT;EYWCCOV;Egypt
COV CASES FAROE ISLANDS;FAWCCOV;Faroe Islands
COV CASES FRENCH GUIANA;FGWCCOV;French Guiana
COV CASES FIJI;FJWCCOV;Fiji
COV CASES FINLAND;FNWCCOV;Finland
COV CASES FRENCH POLYNESIA;FPWCCOV;French Polynesia
COV CASES FRANCE;FRCICOV;France
COV CASES GABON;GAWCCOV;Gabon
COV CASES GUADELOUPE;GDWCCOV;Guadeloupe
COV CASES GUINEA;GEWCCOV;Guinea-Bissau
COV CASES GEORGIA;GGWCCOV;Georgia
COV CASES GHANA;GHWCCOV;Ghana
COV CASES GUERNSEY;GJWCCOV;Guernsey
COV CASES GREENLAND;GLWCCOV;Greenland
COV CASES GAMBIA;GMWCCOV;Gambia
COV CASES GRENADA;GNWCCOV;Grenada
COV CASES GREECE;GRWCCOV;Greece
COV CASES GIBRALTAR;GTWCCOV;Gibraltar
COV CASES GUAM;GUWCCOV;Guam
COV CASES GUATEMALA;GWWCCOV;Guatemala
COV CASES GUYANA;GYWCCOV;Guyana
COV CASES HAITI;HAWCCOV;Haiti
COV CASES HUNGARY;HNWCCOV;Hungary
COV CASES HONDURAS;HOWCCOV;Honduras
COV CASES IRAN;IAWCCOV;Iran
COV CASES ICELAND;ICWCCOV;Iceland
COV CASES INDONESIA;IDWCCOV;Indonesia
COV CASES ISLE OF MAN;IKWCCOV;Isle of Man
COV CASES INDIA;INWCCOV;India
COV CASES IRAQ;IQWCCOV;Iraq
COV CASES IRELAND;IRWCCOV;Ireland
COV CASES ISRAEL;ISWCCOV;Israel
COV CASES ITALY;ITWCCOV;Italy
COV CASES COTE D'IVOIRE;IVWCCOV;Ivory Coast
COV CASES JERSEY;JEWCCOV;Jersey
COV CASES JAMAICA;JMWCCOV;Jamaica
COV CASES JORDAN;JOWCCOV;Jordan
COV CASES JAPAN;JPCICOV;Japan
COV CASES DIAMOND PRINCESS;JPWCCOD;Japan
COV CASES CAMBODIA;KHCICOV;Cambodia
COV CASES KENYA;KNWCCOV;Kenya
COV CASES SOUTH KOREA;KOCICOV;South Korea
COV CASES KUWAIT;KWWCCOV;Kuwait
COV CASES KYRGYZ REPUBLIC;KYWCCOV;Kyrgyzstan
COV CASES KAZAKHSTAN;KZWCCOV;Kazakhstan
COV CASES LAOS;LAWCCOV;Laos
COV CASES LEBANON;LBWCCOV;Lebanon
COV CASES SAINT LUCIA;LCWCCOV;Saint Lucia
COV CASES LIBERIA;LIWCCOV;Liberia
COV CASES SRI LANKA;LKCICOV;Sri Lanka
COV CASES LITHUANIA;LNWCCOV;Lithuania
COV CASES LIECHTENSTEIN;LTWCCOV;Liechtenstein
COV CASES LATVIA;LVWCCOV;Latvia
COV CASES LUXEMBOURG;LXWCCOV;Luxembourg
COV CASES LIBYA;LYWCCOV;Libya
COV CASES MALTA;MAWCCOV;Malta
COV CASES MOROCCO;MCWCCOV;Morocco
COV CASES MADAGASCAR;MDWCCOV;Madagascar
COV CASES MOLDOVA;MFWCCOV;Moldova
COV CASES MONGOLIA;MGWCCOV;Mongolia
COV CASES NORTH MACEDONIA;MKWCCOV;North Macedonia
COV CASES MONTENEGRO;MNWCCOV;Montenegro
COV CASES MARTINIQUE;MQWCCOV;Martinique
COV CASES MAURITANIA;MRWCCOV;Mauritania
COV CASES MONTSERRAT;MSWCCOV;Montserrat
COV CASES MONACO;MTWCCOV;Monaco
COV CASES MAURITIUS;MUWCCOV;Mauritius
COV CASES MALDIVES;MVWCCOV;Maldives
COV CASES MEXICO;MXWCCOV;Mexico
COV CASES MALAYSIA;MYCICOV;Malaysia
COV CASES MOZAMBIQUE;MZWCCOV;Mozambique
COV CASES NEW CALEDONIA;NCWCCOV;New Caledonia
COV CASES NIGERIA;NGWCCOV;Nigeria
COV CASES NICARAGUA;NIWCCOV;Nicaragua
COV CASES NETHERLANDS;NLWCCOV;Netherlands
COV CASES NEPAL;NPCICOV;Nepal
COV CASES NIGER;NRWCCOV;Niger
COV CASES NORWAY;NWWCCOV;Norway
COV CASES NEW ZEALAND;NZWCCOV;New Zealand
COV CASES AUSTRIA;OEWCCOV;Austria
COV CASES OMAN;OMWCCOV;Oman
COV CASES PANAMA;PAWCCOV;Panama
COV CASES PERU;PEWCCOV;Peru
COV CASES PAPUA NEW GUINEA;PGWCCOV;Papua New Guinea
COV CASES PHILIPPINES;PHWCCOV;Philippines
COV CASES PAKISTAN;PKWCCOV;Pakistan
COV CASES POLAND;POWCCOV;Poland
COV CASES PUERTO RICO;PRWCCOV;Puerto Rico
COV CASES PALESTINIAN;PSWCCOV;Palestinian Territories
COV CASES PORTUGAL;PTWCCOV;Portugal
COV CASES PARAGUAY;PYWCCOV;Paraguay
COV CASES QATAR;QAWCCOV;Qatar
COV CASES REUNION;REWCCOV;Reunion
COV CASES ROMANIA;RMWCCOV;Romania
COV CASES RUSSIA;RSWCCOV;Russia
COV CASES RWANDA;RWWCCOV;Rwanda
COV CASES SOUTH AFRICA;SAWCCOV;South Africa
COV CASES SERBIA;SBWCCOV;Serbia
COV CASES SWEDEN;SDWCCOV;Sweden
COV CASES SEYCHELLES;SEWCCOV;Seychelles
COV CASES SAN MARINO;SFWCCOV;San Marino
COV CASES SENEGAL;SGWCCOV;Senegal
COV CASES SAUDI ARABIA;SIWCCOV;Saudi Arabia
COV CASES SLOVENIA;SJWCCOV;Slovenia
COV CASES SUDAN;SNWCCOV;Sudan
COV CASES SOMALIA;SOWCCOV;Somalia
COV CASES SINGAPORE;SPCICOV;Singapore
COV CASES SURINAME;SUWCCOV;Suriname
COV CASES ST VNCNT & GREND;SVWCCOV;Saint Vincent and the Grenadines
COV CASES SWITZERLAND;SWWCCOV;Switzerland
COV CASES SLOVAKIA;SXWCCOV;Slovakia
COV CASES SYRIAN ARAB REP;SYWCCOV;Syria
COV CASES ESWATINI;SZWCCOV;eSwatini
COV CASES THAILAND;THCICOV;Thailand
COV CASES TIMOR-LESTE;TIWCCOV;East Timor
COV CASES TURKS&CAICOS ISL;TLWCCOV;Turks and Caicos Islands
COV CASES TURKEY;TKWCCOV;Turkey
COV CASES TANZANIA;TNWCCOV;United Republic of Tanzania
COV CASES TOGO;TOWCCOV;Togo
COV CASES TRINIDAD&TOBAGO;TTWCCOV;Trinidad and Tobago
COV CASES TUNISIA;TUWCCOV;Tunisia
COV CASES UAE;UAWCCOV;United Arab Emirates
COV CASES UGANDA;UGWCCOV;Uganda
COV CASES UK;UKWCCOV;United Kingdom
COV CASES UKRAINE;URWCCOV;Ukraine
COV CASES USA;USCICOV;United States of America
COV CASES BURKINA FASO;UVWCCOV;Burkina Faso
COV CASES URUGUAY;UYWCCOV;Uruguay
COV CASES UZBEKISTAN;UZWCCOV;Uzbekistan
COV CASES VATICAN;VAWCCOV;Vatican City State
COV CASES VENEZUELA;VEWCCOV;Venezuela
COV CASES VIRGIN ISL (US);VGWCCOV;Virgin Islands (U.S.)
COV CASES VIETNAM;VICICOV;Vietnam
COV CASES NAMIBIA;WAWCCOV;Namibia
COV CASES MAYOTTE;YTWCCOV;Mayotte
COV CASES CONGO DEM REP;ZAWCCOV;Democratic Republic of the Congo
COV CASES ZIMBABWE;ZIWCCOV;Zimbabwe
COV CASES ZAMBIA;ZMWCCOV;Zambia
COV CASES TAIWAN;TWCICOV;Taiwan
COV CASES MACAU;MOCICOV;Macau
COV CASES HONGKONG;HKCICOV;Hong Kong
